dataset	method	knob	bpv	compressed_bytes	psnr_raw	psnr_heldout	renderable
opencell_map4_ch0	gsplats	64000	1.0969	2517440	28.54	27.87	True
opencell_map4_ch0	gsplats	128000	2.1845	5013360	28.87	27.79	True
opencell_map4_ch0	gsplats	256000	4.3746	10039640	29.4	27.69	True
opencell_map4_ch0	gsplats	512000	8.7819	20154560	29.78	27.61	True
opencell_map4_ch0	noise_floor	ref	0.0	0	32.6144	32.6144	False
opencell_map4_ch1	h265	51	0.0215	49375	24.4	24.18	False
opencell_map4_ch1	h265	45	0.1127	258731	25.77	24.25	False
opencell_map4_ch1	h265	40	0.3492	801311	28.09	24.48	False
opencell_map4_ch1	h265	35	0.961	2205543	31.0	24.73	False
opencell_map4_ch1	h265	30	1.9011	4363075	34.26	24.94	False
opencell_map4_ch1	h265	25	2.8703	6587452	36.44	25.05	False
opencell_map4_ch1	h265	20	3.8457	8825828	37.52	25.09	False
opencell_map4_ch1	h265	15	4.6567	10687032	37.88	25.1	False
opencell_map4_ch1	h265	10	5.3684	12320472	37.99	25.1	False
opencell_map4_ch1	h265	5	5.9046	13551080	38.02	25.1	False
opencell_map4_ch1	h265	0	12.0917	27750434	38.12	25.11	False
opencell_map4_ch1	gsplats	1000	0.0156	35840	21.45	21.44	True
opencell_map4_ch1	gsplats	2000	0.0337	77440	22.45	22.44	True
opencell_map4_ch1	gsplats	4000	0.0668	153240	23.37	23.34	True
opencell_map4_ch1	gsplats	8000	0.1412	324000	24.2	24.13	True
opencell_map4_ch1	gsplats	16000	0.284	651800	24.69	24.52	True
opencell_map4_ch1	gsplats	32000	0.5643	1294960	25.14	24.8	True
opencell_map4_ch1	gsplats	64000	1.0846	2489200	25.57	24.91	True
opencell_map4_ch1	gsplats	128000	2.1827	5009400	26.03	24.89	True
opencell_map4_ch1	gsplats	256000	4.3745	10039440	26.62	24.77	True
opencell_map4_ch1	gsplats	512000	8.7291	20033240	27.43	24.67	True
opencell_map4_ch1	noise_floor	ref	0.0	0	30.4488	30.4488	False
cells3d_nuclei	h265	51	0.0168	8264	31.38	31.34	False
cells3d_nuclei	h265	45	0.0288	14151	33.21	33.12	False
